v1,v2,,,
NOT SPAM,"K, wait chikku..il send aftr  &lt;#&gt; mins",,,
NOT SPAM,But I'm on a diet. And I ate 1 too many slices of pizza yesterday. Ugh I'm ALWAYS on a diet.,,,
NOT SPAM,K:)i will give my kvb acc details:),,,
NOT SPAM,Oh all have to come ah?,,,
SPAM,money!!! you r a lucky winner ! 2 claim your prize text money 2 88600 over å£1million to give away ! ppt150x3+normal text rate box403 w1t1jy,,,
NOT SPAM,I'm really sorry i won't b able 2 do this friday.hope u can find an alternative.hope yr term's going ok:-),,,
NOT SPAM,Congratulations ore mo owo re wa. Enjoy it and i wish you many happy moments to and fro wherever you go,,,
NOT SPAM,So do you have samus shoulders yet,,,
NOT SPAM,What time you think you'll have it? Need to know when I should be near campus,,,
SPAM,"Dear Matthew please call 09063440451 from a landline, your complimentary 4*Lux Tenerife holiday or å£1000 CASH await collection. ppm150 SAE T&Cs Box334 SK38XH.",,,
NOT SPAM,Then dun wear jeans lor...,,,
NOT SPAM,"Since when, which side, any fever, any vomitin.",,,
NOT SPAM,K:)k.are you in college?,,,
SPAM,"Urgent! call 09061749602 from Landline. Your complimentary 4* Tenerife Holiday or å£10,000 cash await collection SAE T&Cs BOX 528 HP20 1YF 150ppm 18+",,,
NOT SPAM,Better. Made up for Friday and stuffed myself like a pig yesterday. Now I feel bleh. But at least its not writhing pain kind of bleh.,,,
NOT SPAM,No we sell it all so we'll have tons if coins. Then sell our coins to someone thru paypal. Voila! Money back in life pockets:),,,
NOT SPAM,Theyre doing it to lots of places. Only hospitals and medical places are safe.,,,
SPAM,How about getting in touch with folks waiting for company? Just txt back your NAME and AGE to opt in! Enjoy the community (150p/SMS),,,
NOT SPAM,And also I've sorta blown him off a couple times recently so id rather not text him out of the blue looking for weed,,,
NOT SPAM,"I sent my scores to sophas and i had to do secondary application for a few schools. I think if you are thinking of applying, do a research on cost also. Contact joke ogunrinde, her school is one me the less expensive ones",,,
NOT SPAM,I cant wait to see you! How were the photos were useful? :),,,
SPAM,Ur cash-balance is currently 500 pounds - to maximize ur cash-in now send GO to 86688 only 150p/msg. CC: 08718720201 PO BOX 114/14 TCR/W1,,,
NOT SPAM,Hey i booked the kb on sat already... what other lessons are we going for ah? Keep your sat night free we need to meet and confirm our lodging ,,,
NOT SPAM,Chk in ur belovd ms dict,,,
NOT SPAM,Is that what time you want me to come?,,,
NOT SPAM,"Awesome, lemme know whenever you're around",,,
NOT SPAM,Shb b ok lor... Thanx...,,,
NOT SPAM,"Beautiful Truth against Gravity.. Read carefully: \Our heart feels light when someone is in it.. But it feels very heavy when someone leaves it..\"" GOOD NIGHT""",,,
NOT SPAM,Also remember to get dobby's bowl from your car,,,
SPAM,Filthy stories and GIRLS waiting for your,,,
NOT SPAM,Sorry i now then c ur msg... Yar lor so poor thing... But only 4 one night... Tmr u'll have a brand new room 2 sleep in...,,,
NOT SPAM,"Love isn't a decision, it's a feeling. If we could decide who to love, then, life would be much simpler, but then less magical",,,
NOT SPAM,Welp apparently he retired,,,
NOT SPAM,My sort code is  and acc no is . The bank is natwest. Can you reply to confirm i've sent this to the right person!,,,
NOT SPAM,Where @,,,
NOT SPAM,U sure u can't take any sick time?,,,
SPAM,URGENT! We are trying to contact U. Todays draw shows that you have won a å£800 prize GUARANTEED. Call 09050001808 from land line. Claim M95. Valid12hrs only,,,
NOT SPAM,"Watching cartoon, listening music &amp; at eve had to go temple &amp; church.. What about u?",,,
NOT SPAM,Yo chad which gymnastics class do you wanna take? The site says Christians class is full..,,,
NOT SPAM,Are you this much buzy,,,
NOT SPAM,Or better still can you catch her and let ask her if she can sell  &lt;#&gt;  for me.,,,
NOT SPAM,I am not sure about night menu. . . I know only about noon menu,,,
NOT SPAM,What do u want when i come back?.a beautiful necklace as a token of my heart for you.thats what i will give but ONLY to MY WIFE OF MY LIKING.BE THAT AND SEE..NO ONE can give you that.dont call me.i will wait till i come.,,,
NOT SPAM,Are you willing to go for aptitude class.,,,
NOT SPAM,"It wont b until 2.15 as trying 2 sort house out, is that ok?",,,
NOT SPAM,"Yar lor he wan 2 go c horse racing today mah, so eat earlier lor. I ate chicken rice. U?",,,
NOT SPAM,"Haha awesome, omw back now then",,,
NOT SPAM,Yup i thk so until e shop closes lor.,,,
NOT SPAM,what is your account number?,,,
NOT SPAM,Eh u send wrongly lar...,,,
NOT SPAM,Hey no I ad a crap nite was borin without ya 2 boggy with me u boring biatch! Thanx but u wait til nxt time il ave ya ,,,
NOT SPAM,Ok i shall talk to him,,,
NOT SPAM,Dont hesitate. You know this is the second time she has had weakness like that. So keep i notebook of what she eat and did the day before or if anything changed the day before so that we can be sure its nothing,,,
NOT SPAM,Hey you can pay. With salary de. Only  &lt;#&gt; .,,,
NOT SPAM,Another month. I need chocolate weed and alcohol.,,,
NOT SPAM,If he started searching he will get job in few days.he have great potential and talent.,,,
NOT SPAM,Reckon need to be in town by eightish to walk from * carpark.,,,
SPAM,"Congrats! 2 mobile 3G Videophones R yours. call 09063458130 now! videochat wid your mates, play java games, Dload polyPH music, noline rentl.",,,
NOT SPAM,LOOK AT THE FUCKIN TIME. WHAT THE FUCK YOU THINK IS UP,,,
NOT SPAM,Yo guess what I just dropped,,,
NOT SPAM,Carlos says he'll be at mu in  &lt;#&gt;  minutes,,,
NOT SPAM,I'm in office now . I will call you  &lt;#&gt;  min:),,,
NOT SPAM,"Geeee ... I miss you already, you know ? Your all I can think about. Fuck, I can't wait till next year when we will be together ... *loving kiss*",,,
NOT SPAM,"Yun ah.the ubi one say if Ì_ wan call by tomorrow.call 67441233 look for irene.ere only got bus8,22,65,61,66,382. Ubi cres,ubi tech park.6ph for 1st 5wkg days.Ì¬n",,,
NOT SPAM,Ugh. Gotta drive back to sd from la. My butt is sore.,,,
NOT SPAM,26th OF JULY,,,
NOT SPAM,Hi im having the most relaxing time ever! we have to get up at 7am every day! was the party good the other night? I get home tomorrow at 5ish.,,,
NOT SPAM,Up to Ì_... ÌÏ wan come then come lor... But i din c any stripes skirt...,,,
NOT SPAM,The Xmas story is peace.. The Xmas msg is love.. The Xmas miracle is jesus.. Hav a blessed month ahead &amp; wish U Merry Xmas...,,,
NOT SPAM,"I can't, I don't have her number!",,,
NOT SPAM,Change again... It's e one next to escalator...,,,
NOT SPAM,Yetunde i'm in class can you not run water on it to make it ok. Pls now.,,,
NOT SPAM,Not a lot has happened here. Feels very quiet. Beth is at her aunts and charlie is working lots. Just me and helen in at the mo. How have you been? ,,,
NOT SPAM,Then Ì_ wait 4 me at bus stop aft ur lect lar. If i dun c Ì_ then i go get my car then come back n pick Ì_.,,,
NOT SPAM,"Aight will do, thanks again for comin out",,,
NOT SPAM,No..but heard abt tat..,,,
SPAM,Please call our customer service representative on FREEPHONE 0808 145 4742 between 9am-11pm as you have WON a guaranteed å£1000 cash or å£5000 prize!,,,
NOT SPAM,Yes..he is really great..bhaji told kallis best cricketer after sachin in world:).very tough to get out.,,,
NOT SPAM,&lt;#&gt;  am I think? Should say on syllabus,,,
NOT SPAM,Umma. Did she say anything,,,
NOT SPAM,Give me a sec to think think about it,,,
SPAM,Panasonic & BluetoothHdset FREE. Nokia FREE. Motorola FREE & DoubleMins & DoubleTxt on Orange contract. Call MobileUpd8 on 08000839402 or call 2optout,,,
NOT SPAM,I don't quite know what to do. I still can't get hold of anyone. I cud pick you up bout 7.30pm and we can see if they're in the pub?,,,
NOT SPAM,"Poyyarikatur,kolathupalayam,unjalur post,erode dis, &lt;#&gt; .",,,
NOT SPAM,"Dear Hero,i am leaving to qatar tonite for an apt opportunity.pls do keep in touch at  &lt;EMAIL&gt; ,kerala",,,
NOT SPAM,Lol I would but my mom would have a fit and tell the whole family how crazy and terrible I am,,,
NOT SPAM,"I just got home babe, are you still awake ?",,,
NOT SPAM,I dunno they close oredi not... ÌÏ v ma fan...,,,
NOT SPAM,Just buy a pizza. Meat lovers or supreme. U get to pick.,,,
NOT SPAM,"Ya, told..she was asking wats matter?",,,
NOT SPAM,"Dear,regret i cudnt pick call.drove down frm ctla now at cochin home.left mobile in car..ente style ishtamayoo?happy bakrid!",,,
SPAM,FREE for 1st week! No1 Nokia tone 4 ur mob every week just txt NOKIA to 8007 Get txting and tell ur mates www.getzed.co.uk POBox 36504 W45WQ norm150p/tone 16+,,,
NOT SPAM,Shall i send that exe to your mail id.,,,
NOT SPAM,Nope watching tv at home... Not going out. V bored...,,,
NOT SPAM,Don know..wait i will check it.,,,
NOT SPAM,"Good afternoon on this glorious anniversary day, my sweet J !! I hope this finds you happy and content, my Prey. I think of you and send a teasing kiss from across the sea coaxing images of fond souveniers ... You Cougar-Pen",,,
SPAM,Guess what! Somebody you know secretly fancies you! Wanna find out who it is? Give us a call on 09065394514 From Landline DATEBox1282EssexCM61XN 150p/min 18,,,
NOT SPAM,We still on for tonight?,,,
NOT SPAM,May i call You later Pls,,,
NOT SPAM,Hasn't that been the pattern recently crap weekends?,,,
NOT SPAM,I have a sore throat. It's scratches when I talk,,,
NOT SPAM,Yes da. Any plm at ur office,,,
NOT SPAM,Are you not around or just still asleep? :V,,,
NOT SPAM,"Lol you forgot it eh ? Yes, I'll bring it in babe",,,
NOT SPAM,"Its good, we'll find a way",,,
NOT SPAM,Can not use foreign stamps in this country. Good lecture .,,,
NOT SPAM,Yup bathe liao...,,,
NOT SPAM,HAPPY NEW YEAR MY NO.1 MAN,,,
NOT SPAM,"OH MR SHEFFIELD! You wanna play THAT game, okay. You're the boss and I'm the nanny. You give me a raise and I'll give YOU one!!",,,
NOT SPAM,ZOE IT JUST HIT ME 2 IM FUCKING SHITIN MYSELF IL DEFO TRY MY HARDEST 2 CUM 2MOROW LUV U MILLIONS LEKDOG,,,
NOT SPAM,"Hello baby, did you get back to your mom's ? Are you setting up the computer now ? Filling your belly ? How goes it loverboy ? I miss you already ... *sighs*",,,
NOT SPAM,"No my blankets are sufficient, thx",,,
NOT SPAM,"naughty little thought: 'its better to flirt, flirt n flirt, rather than loving someone n gettin hurt, hurt n hurt...:-) Gud nyt",,,
NOT SPAM,"Edison has rightly said, \A fool can ask more questions than a wise man can answer\"" Now you know why all of us are speechless during ViVa.. GM",GN,GE,"GNT:-)"""
NOT SPAM,They just talking thats it de. They wont any other.,,,
NOT SPAM,Today am going to college so am not able to atten the class.,,,
NOT SPAM,I'm in class. Will holla later,,,
NOT SPAM,Easy ah?sen got selected means its good..,,,
NOT SPAM,Mmm thats better now i got a roast down me! iåÕd b better if i had a few drinks down me 2! Good indian?,,,
SPAM,"We know someone who you know that fancies you. Call 09058097218 to find out who. POBox 6, LS15HB 150p",,,
NOT SPAM,"Come round, it's . ",,,
NOT SPAM,"Do 1 thing! Change that sentence into: \Because i want 2 concentrate in my educational career im leaving here..\""""",,,
SPAM,"1000's flirting NOW! Txt GIRL or BLOKE & ur NAME & AGE, eg GIRL ZOE 18 to 8007 to join and get chatting!",,,
NOT SPAM,I walked an hour 2 c u! doesnåÕt that show I care y wont u believe im serious?,,,
SPAM,18 days to Euro2004 kickoff! U will be kept informed of all the latest news and results daily. Unsubscribe send GET EURO STOP to 83222.,,,
NOT SPAM,Are you available for soiree on June 3rd?,,,
NOT SPAM,Do u noe wat time e place dat sells 4d closes?,,,
NOT SPAM,"I got another job! The one at the hospital doing data analysis or something, starts on monday! Not sure when my thesis will got finished",,,
NOT SPAM,Jay's getting really impatient and belligerent,,,
NOT SPAM,HIYA COMIN 2 BRISTOL 1 ST WEEK IN APRIL. LES GOT OFF + RUDI ON NEW YRS EVE BUT I WAS SNORING.THEY WERE DRUNK! U BAK AT COLLEGE YET? MY WORK SENDS INK 2 BATH.,,,
NOT SPAM,I'm at work. Please call,,,
NOT SPAM,Then u drive lor.,,,
NOT SPAM,Ard 515 like dat. Y?,,,
NOT SPAM,Tell me they're female :V how're you throwing in? We're deciding what all to get now,,,
SPAM,EASTENDERS TV Quiz. What FLOWER does DOT compare herself to? D= VIOLET E= TULIP F= LILY txt D E or F to 84025 NOW 4 chance 2 WIN å£100 Cash WKENT/150P16+,,,
NOT SPAM,I'm working technical support :)voice process.networking field.,,,
NOT SPAM,I might come to kerala for 2 days.so you can be prepared to take a leave once i finalise .dont plan any travel during my visit.need to finish urgent works.,,,
NOT SPAM,Ok. Not sure what time tho as not sure if can get to library before class. Will try. See you at some point! Have good eve.,,,
SPAM,We have new local dates in your area - Lots of new people registered in YOUR AREA. Reply DATE to start now! 18 only www.flirtparty.us REPLYS150,,,
NOT SPAM,"That's fine, I'll bitch at you about it later then",,,
NOT SPAM,No my mum went 2 dentist.,,,
NOT SPAM,Once free call me sir. I am waiting for you.,,,
NOT SPAM,Meeting u is my work. . . Tel me when shall i do my work tomorrow,,,
SPAM,Someone U know has asked our dating service 2 contact you! Cant Guess who? CALL 09058091854 NOW all will be revealed. PO BOX385 M6 6WU,,,
NOT SPAM,Jus finish bathing...,,,
NOT SPAM,"alright, I'll make sure the car is back tonight",,,
SPAM,URGENT! We are trying to contact U. Todays draw shows that you have won a å£800 prize GUARANTEED. Call 09050003091 from land line. Claim C52. Valid12hrs only,,,
SPAM,Dear U've been invited to XCHAT. This is our final attempt to contact u! Txt CHAT to 86688,,,
NOT SPAM,Lul im gettin some juicy gossip at the hospital. Two nurses are talking about how fat they are gettin. And one thinks shes obese. Oyea.,,,
NOT SPAM,Aight ill get on fb in a couple minutes,,,
NOT SPAM,Oi. Ami parchi na re. Kicchu kaaj korte iccha korche na. Phone ta tul na. Plz. Plz.,,,
NOT SPAM,Where can download clear movies. Dvd copies.,,,
NOT SPAM,"Yep, by the pretty sculpture",,,
NOT SPAM,Convey my regards to him,,,
NOT SPAM,Me too watching surya movie only. . .after 6 pm vijay movie POKKIRI,,,
NOT SPAM,You tell what happen dont behave like this to me. Ok no need to say,,,
NOT SPAM,Can u get pic msgs to your phone?,,,
NOT SPAM,Send to someone else :-),,,
NOT SPAM,Wat makes some people dearer is not just de happiness dat u feel when u meet them but de pain u feel when u miss dem!!!,,,
NOT SPAM,For me the love should start with attraction.i should feel that I need her every time around me.she should be the first thing which comes in my thoughts.I would start the day and end it with her.she should be there every time I dream.love will be then when my every breath has her name.my life should happen around her.my life will be named to her.I would cry for her.will give all my happiness and take all her sorrows.I will be ready to fight with anyone for her.I will be in love when I will be doing the craziest things for her.love will be when I don't have to proove anyone that my girl is the most beautiful lady on the whole planet.I will always be singing praises for her.love will be when I start up making chicken curry and end up makiing sambar.life will be the most beautiful then.will get every morning and thank god for the day because she is with me.I would like to say a lot..will tell later..,,,
NOT SPAM,"FR'NDSHIP is like a needle of a clock. Though V r in d same clock, V r nt able 2 met. Evn if V meet,itz only 4few seconds. Bt V alwys stay conected. Gud 9t;-)",,,
NOT SPAM,I don't think he has spatula hands!,,,
NOT SPAM,You can never do NOTHING,,,
SPAM,You are awarded a SiPix Digital Camera! call 09061221061 from landline. Delivery within 28days. T Cs Box177. M221BP. 2yr warranty. 150ppm. 16 . p på£3.99,,,
NOT SPAM,Goodmorning today i am late for  &lt;DECIMAL&gt; min.,,,
SPAM,WIN URGENT! Your mobile number has been awarded with a å£2000 prize GUARANTEED call 09061790121 from land line. claim 3030 valid 12hrs only 150ppm ,,,
NOT SPAM,Please da call me any mistake from my side sorry da. Pls da goto doctor.,,,
NOT SPAM,Where r we meeting?,,,
NOT SPAM,"Well the weather in cali's great. But its complexities are great. You need a car to move freely, its taxes are outrageous. But all in all its a great place. The sad part is i missing home.",,,
NOT SPAM,Now only i reached home. . . I am very tired now. . I will come tomorro,,,
NOT SPAM,Ryder unsold.now gibbs.,,,
SPAM,Dear Subscriber ur draw 4 å£100 gift voucher will b entered on receipt of a correct ans. When was Elvis Presleys Birthday? TXT answer to 80062,,,
NOT SPAM,Don't fret. I'll buy the ovulation test strips and send them to you. You wont get them til like march. Can you send me your postal address.u'll be alright.Okay.,,,
NOT SPAM,NO GIFTS!! You trying to get me to throw myself off a cliff or something?,,,
NOT SPAM,Been up to ne thing interesting. Did you have a good birthday? When are u wrking nxt? I started uni today.,,,
NOT SPAM,You busy or can I come by at some point and figure out what we're doing tomorrow,,,
NOT SPAM,"Yeah go on then, bored and depressed sittin waitin for phone to ring... Hope the wind drops though, scary",,,
NOT SPAM,Black shirt n blue jeans... I thk i c Ì_...,,,
NOT SPAM,Aiyah sorry lor... I watch tv watch until i forgot 2 check my phone.,,,
SPAM,Message Important information for O2 user. Today is your lucky day! 2 find out why log onto http://www.urawinner.com there is a fantastic surprise awaiting you,,,
NOT SPAM,on hen night. Going with a swing,,,
NOT SPAM,"Good afternoon, my love. How goes your day ? What are you up to ? I woke early and am online waiting for you ... Hmmm ... Italian boy is online I see . *grins*",,,
NOT SPAM,From someone not to smoke when every time I've smoked in the last two weeks is because of you calling or texting me that you wanted to smoke,,,
NOT SPAM,No you'll just get a headache trying to figure it out. U can trust me to do the math. I promise. O:-),,,
NOT SPAM,S s..first time..dhoni rocks...,,,
NOT SPAM,Ok ill tell the company,,,
NOT SPAM,"Awesome, think we can get an 8th at usf some time tonight?",,,
NOT SPAM,So that means you still think of teju,,,
NOT SPAM,"No I'm good for the movie, is it ok if I leave in an hourish?",,,
NOT SPAM,No no:)this is kallis home ground.amla home town is durban:),,,
NOT SPAM,So lets make it saturday or monday as per convenience.,,,
NOT SPAM,Hey... What time is your driving on fri? We go for evaluation on fri?,,,
SPAM,"449050000301 You have won a å£2,000 price! To claim, call 09050000301.",,,
NOT SPAM,I'm going 4 lunch now wif my family then aft dat i go str 2 orchard lor.,,,
SPAM,"Bored of speed dating? Try SPEEDCHAT, txt SPEEDCHAT to 80155, if you don't like em txt SWAP and get a new chatter! Chat80155 POBox36504W45WQ 150p/msg rcd 16",,,
NOT SPAM,Cancel cheyyamo?and get some money back?,,,
SPAM,Do you want 750 anytime any network mins 150 text and a NEW video phone for only five pounds per week call 08000776320 now or reply for delivery Tomorrow,,,
NOT SPAM,Ok.ok ok..then..whats ur todays plan,,,
NOT SPAM,Good morning princess! How are you?,,,
NOT SPAM,Aiyar sorry lor forgot 2 tell u...,,,
SPAM,For taking part in our mobile survey yesterday! You can now have 500 texts 2 use however you wish. 2 get txts just send TXT to 80160 T&C www.txt43.com 1.50p,,,
NOT SPAM,Not tonight mate. Catching up on some sleep. This is my new number by the way. ,,,
NOT SPAM,"Height of \Oh shit....!!\"" situation: A guy throws a luv letter on a gal but falls on her brothers head whos a gay",".;-):-D""",,
SPAM,Ur HMV Quiz cash-balance is currently å£500 - to maximize ur cash-in now send HMV1 to 86688 only 150p/msg,,,
NOT SPAM,"So check your errors and if you had difficulties, do correction.",,,
NOT SPAM,Howz pain?hope u r fine..,,,
NOT SPAM,"Sorry, I'll call later",,,
NOT SPAM,Good morning princess! How are you?,,,
NOT SPAM,"As I entered my cabin my PA said, '' Happy B'day Boss !!''. I felt special. She askd me 4 lunch. After lunch she invited me to her apartment. We went there.",,,
NOT SPAM,U wake up already? Thanx 4 e tau sar piah it's quite nice.,,,
NOT SPAM,K do I need a login or anything,,,
SPAM,Dont forget you can place as many FREE Requests with 1stchoice.co.uk as you wish. For more Information call 08707808226.,,,
NOT SPAM,LOL ... No just was busy,,,
NOT SPAM,What * u wearing?,,,
NOT SPAM,Message:some text missing* Sender:Name Missing* *Number Missing *Sent:Date missing *Missing U a lot thats y everything is missing sent via fullonsms.com,,,
NOT SPAM,Oh:)as usual vijay film or its different?,,,
SPAM,I don't know u and u don't know me. Send CHAT to 86688 now and let's find each other! Only 150p/Msg rcvd. HG/Suite342/2Lands/Row/W1J6HL LDN. 18 years or over.,,,
NOT SPAM,Have you had a good day? Mine was really busy are you up to much tomorrow night?,,,
NOT SPAM,And is there a way you can send shade's stuff to her. And she has been wonderful too.,,,
NOT SPAM,Really... I tot ur paper ended long ago... But wat u copied jus now got use? U happy lar... I still haf 2 study :-(,,,
SPAM,"Thank you, winner notified by sms. Good Luck! No future marketing reply STOP to 84122 customer services 08450542832",,,
NOT SPAM,Babe ? I lost you ... :-(,,,
NOT SPAM,Ok... Help me ask if she's working tmr a not?,,,
NOT SPAM,I'm not driving... Raining! Then i'll get caught at e mrt station lor.,,,
NOT SPAM,Not a drop in the tank,,,
NOT SPAM,(That said can you text him one more time?),,,
NOT SPAM,"Sorry, I'll call later",,,
NOT SPAM,Ok i go change also...,,,
SPAM,1000's of girls many local 2 u who r virgins 2 this & r ready 2 4fil ur every sexual need. Can u 4fil theirs? text CUTE to 69911(å£1.50p. m),,,
NOT SPAM,Did u find a sitter for kaitlyn? I was sick and slept all day yesterday.,,,
NOT SPAM,"Sorry man, accidentally left my phone on silent last night and didn't check it til I got up",,,
NOT SPAM,Hey.. Something came up last min.. Think i wun be signing up tmr.. Hee,,,
NOT SPAM,He's an adult and would learn from the experience. There's no real danger. I just dont like peeps using drugs they dont need. But no comment,,,
NOT SPAM,Hey! There's veggie pizza... :/,,,
NOT SPAM,Yun buying... But school got offer 2000 plus only...,,,
NOT SPAM,You sure your neighbors didnt pick it up,,,
NOT SPAM,K. I will sent it again,,,
SPAM,Free entry in 2 a wkly comp to win FA Cup final tkts 21st May 2005. Text FA to 87121 to receive entry question(std txt rate)T&C's apply 08452810075over18's,,,
NOT SPAM,"New Theory: Argument wins d SITUATION, but loses the PERSON. So dont argue with ur friends just.. . . . kick them &amp; say, I'm always correct.!",,,
NOT SPAM,Well. Im computerless. Time to make some oreo truffles,,,
NOT SPAM,"Haha yeah I see that now, be there in a sec",,,
NOT SPAM,I am not having her number sir,,,
NOT SPAM,Lol now I'm after that hot air balloon!,,,
NOT SPAM,Ok . . now i am in bus. . If i come soon i will come otherwise tomorrow,,,
NOT SPAM,Msgs r not time pass.They silently say that I am thinking of U right now and also making U think of me at least 4 a moment. Gd nt.swt drms @Shesil,,,
NOT SPAM,"Yeah, we can probably swing by once my roommate finishes up with his girl",,,
SPAM,"Got what it takes 2 take part in the WRC Rally in Oz? U can with Lucozade Energy! Text RALLY LE to 61200 (25p), see packs or lucozade.co.uk/wrc & itcould be u!",,,
NOT SPAM,Happy new years melody!,,,
NOT SPAM,ÌÏ dun need to pick ur gf?,,,
NOT SPAM,Yay! You better not have told that to 5 other girls either.,,,
NOT SPAM,Horrible u eat macs eat until u forgot abt me already rite... U take so long 2 reply. I thk it's more toot than b4 so b prepared. Now wat shall i eat?,,,
NOT SPAM,"Did he say how fantastic I am by any chance, or anything need a bigger life lift as losing the will 2 live, do you think I would be the first person 2 die from N V Q? ",,,
NOT SPAM,Just nw i came to hme da..,,,
NOT SPAM,"I'm outside islands, head towards hard rock and you'll run into me",,,
NOT SPAM,To day class is there are no class.,,,
NOT SPAM,I'm in chennai velachery:),,,
NOT SPAM,You flippin your shit yet?,,,
NOT SPAM,"K give me a sec, breaking a  &lt;#&gt;  at cstore",,,
NOT SPAM,Am i that much bad to avoid like this?,,,
NOT SPAM,"Yo, you around? Just got my car back",,,
NOT SPAM,Annoying isn't it.,,,
NOT SPAM,"Goodmorning, Today i am late for  &lt;#&gt; min.",,,
NOT SPAM,There's no point hangin on to mr not right if he's not makin u happy,,,
NOT SPAM,All will come alive.better correct any good looking figure there itself..,,,
NOT SPAM,In that case I guess I'll see you at campus lodge,,,
NOT SPAM,We're done...,,,
NOT SPAM,Come to my home for one last time i wont do anything. Trust me.,,,
NOT SPAM,I was up all night too worrying about this appt. It's a sNOT SPAMe we missed a girls night out with quizzes popcorn and you doing my hair.,,,
SPAM,Sex up ur mobile with a FREE sexy pic of Jordan! Just text BABE to 88600. Then every wk get a sexy celeb! PocketBabe.co.uk 4 more pics. 16 å£3/wk 087016248,,,
NOT SPAM,Ok... C ya...,,,
SPAM,You have 1 new voicemail. Please call 08719181503,,,
NOT SPAM,What he said is not the matter. My mind saying some other matter is there.,,,
NOT SPAM,He also knows about lunch menu only da. . I know,,,
NOT SPAM,"Al he does is moan at me if n e thin goes wrong its my fault&al de arguments r my fault&fed up of him of himso y bother? Hav 2go, thanx.xx",,,
NOT SPAM,NEFT Transaction with reference number  &lt;#&gt;  for Rs. &lt;DECIMAL&gt;  has been credited to the beneficiary account on  &lt;#&gt;  at  &lt;TIME&gt; : &lt;#&gt;,,,
NOT SPAM,Otherwise had part time job na-tuition..,,,
NOT SPAM,I know she called me,,,
NOT SPAM,"Me also da, i feel yesterday night  wait til 2day night dear.",,,
NOT SPAM,Thanks for understanding. I've been trying to tell sura that.,,,
SPAM,WIN a year supply of CDs 4 a store of ur choice worth å£500 & enter our å£100 Weekly draw txt MUSIC to 87066 Ts&Cs www.Ldew.com.subs16+1win150ppmx3,,,
NOT SPAM,The whole car appreciated the last two! Dad and are having a map reading semi argument but apart from that things are going ok. P.,,,
SPAM,"As a SIM subscriber, you are selected to receive a Bonus! Get it delivered to your door, Txt the word OK to No: 88600 to claim. 150p/msg, EXP. 30Apr",,,
NOT SPAM,I need you to be in my strong arms...,,,
NOT SPAM,Also maaaan are you missing out,,,
NOT SPAM,His bday real is in april .,,,
NOT SPAM,Guessin you ain't gonna be here before 9?,,,
NOT SPAM,Ok then i will come to ur home after half an hour,,,
NOT SPAM,"Yo, the game almost over? Want to go to walmart soon",,,
NOT SPAM,"Yeah, probably but not sure. Ilol let u know, but personally I wuldnt bother, then again if ur goin to then I mite as well!!",,,
NOT SPAM,I'll text now! All creepy like so he won't think that we forgot,,,
NOT SPAM,"that would be good ‰Û_ I'll phone you tomo lunchtime, shall I, to organise something?",,,
SPAM,You have 1 new voicemail. Please call 08719181513.,,,
NOT SPAM,"Damn, can you make it tonight or do you want to just wait til tomorrow",,,
NOT SPAM,K..k..i'm also fine:)when will you complete the course?,,,
NOT SPAM,"True. It is passable. And if you get a high score and apply for phd, you get 5years of salary. So it makes life easier.",,,
SPAM,No. 1 Nokia Tone 4 ur mob every week! Just txt NOK to 87021. 1st Tone FREE ! so get txtin now and tell ur friends. 150p/tone. 16 reply HL 4info,,,
NOT SPAM,Prakesh is there know.,,,
NOT SPAM,Teach me apps da. When you come to college.,,,
NOT SPAM,Rofl betta invest in some  anti aging products,,,
SPAM,You are a winner U have been specially selected 2 receive å£1000 cash or a 4* holiday (flights inc) speak to a live operator 2 claim 0871277810810,,,
NOT SPAM,"sir, you will receive the account no another 1hr time. Sorry for the delay.",,,
SPAM,Reply with your name and address and YOU WILL RECEIVE BY POST a weeks completely free accommodation at various global locations www.phb1.com ph:08700435505150p,,,
NOT SPAM,So Ì_'ll be submitting da project tmr rite?,,,
SPAM,FREE entry into our å£250 weekly comp just send the word ENTER to 84128 NOW. 18 T&C www.textcomp.com cust care 08712405020.,,,
NOT SPAM,Jus ans me lar. U'll noe later.,,,
NOT SPAM,I want to send something that can sell fast.  &lt;#&gt; k is not easy money.,,,
NOT SPAM,have got * few things to do. may be in * pub later.,,,
NOT SPAM,1's finish meeting call me.,,,
NOT SPAM,Lol ok. I'll snatch her purse too.,,,
NOT SPAM,"\Hello-/@drivby-:0quit edrunk sorry iff pthis makes no senrd-dnot no how ^ dancce 2 drum n basq!ihave fun 2nhite x ros xxxxxxx\""""",,,
NOT SPAM,Your opinion about me? 1. Over 2. Jada 3. Kusruthi 4. Lovable 5. Silent 6. Spl character 7. Not matured 8. Stylish 9. Simple Pls reply..,,,
NOT SPAM,How much are we getting?,,,
NOT SPAM,Is ur paper in e morn or aft tmr?,,,
NOT SPAM,"Dear relieved of westonzoyland, all going to plan this end too!",,,
NOT SPAM,Hope you are having a great new semester. Do wish you the very best. You are made for greatness.,,,
NOT SPAM,Oh yes I can speak txt 2 u no! Hmm. Did u get  email?,,,
NOT SPAM,"I want to show you the world, princess :) how about europe?",,,
NOT SPAM,Nobody can decide where to eat and dad wants Chinese,,,
NOT SPAM,No shoot me. I'm in the docs waiting room. :/,,,
NOT SPAM,Now? I'm going out 4 dinner soon..,,,
NOT SPAM,Hello which the site to download songs its urgent pls,,,
